dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
22029213,2022-02-27,7:28:00 PM,919 Hwy 1 W,WALMART,919 Hwy 1 W,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,"HUSBAND LEFT PHONE HERE AND WAS TOLD IT WAS AT CUSTOMER SERVICE, CUSTOMER SERVICE DOESN^T HAVE IT // REQ A PBX FOR OPTIONS"
22029901,2022-03-01,12:00:00 AM,716 N Dubuque St,NA,716 N Dubuque St,911 HANGUP,911 HANGUP,COMPLETED,Y,"BETWEEN 702 AND 716, TALKING/TV IN BACKGROUND"
22029908,2022-03-01,12:11:00 AM,S Linn St/E College St,NA,S Linn St/E College St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22029909,2022-03-01,12:12:00 AM,1660 SYCAMORE ST,SYCAMORE MALL,1660 SYCAMORE ST,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,BEHIND HERE
22029913,2022-03-01,12:32:00 AM,Muscatine Ave/2nd Ave,NA,Muscatine Ave/2nd Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22029918,2022-03-01,12:45:00 AM,2209 Hickory Ct,NA,2209 Hickory Ct,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,RP REQ AN OFFICER TO WALK THROUGH WITH HIM AT HIS RES B/C HE IS HAVING PROBLEMS WITH HIS WIFE
22029921,2022-03-01,1:19:00 AM,615 S Governor St,NA,615 S Governor St 6,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,COMPLETED,Y,BROTHER STOLE HER VEH TODAY
22029923,2022-03-01,1:30:00 AM,N Gilbert St/E Iowa Ave,NA,N Gilbert St/E Iowa Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22029926,2022-03-01,1:37:00 AM,2nd Ave/J st,NA,2nd Ave/J st,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,INCIDENT REPORT TAKEN,Y,THEFT OF VEH AND PHONE  RP MET HER HUSBAND AT THIS LOCATION - THEY ARE NOT ON GOOD TERMS - MALE TOOK HER PHONE AND TOOK OFF IN A GREEN 2004 FORD ESCAPE
22029928,2022-03-01,1:48:00 AM,1100 Arthur St,NA,1100 Arthur St N1,DIST/NOISE GENERAL,DIST/NOISE GENERAL,WARNING ISSUED VERBAL,Y,E7
22029929,2022-03-01,1:50:00 AM,615 S Governor St,NA,615 S Governor St 6,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,WARRANT ARREST OTHER AGENCY,Y,BROTHER STOLE HER VEH TODAY
22029937,2022-03-01,2:42:00 AM,1845 LOWER MUSCATINE RD,LAUNDROMANIA,1845 LOWER MUSCATINE RD,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,"YOUNG ASIAN FEMALE HANGING OUT IN THE LAUNDROMAT, SEEMS TO BE HOMELESS"
22029941,2022-03-01,3:01:00 AM,2801 HWY 6 E,NA,2801 HWY 6 E 102,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,HURT THIGH
22029947,2022-03-01,3:41:00 AM,1100 ARTHUR ST,NA,1100 ARTHUR ST N3,DIST/NOISE GENERAL,DIST/NOISE GENERAL,UNFOUNDED,Y,LOUD NOISE COMING FROM N3 TALKING AND MOVING AROUND
22029948,2022-03-01,3:44:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,NA
22029956,2022-03-01,4:41:00 AM,3135 Balfour PL,NA,3135 Balfour PL,Z Unknown Problem,Z Unknown Problem,HANDLED BY OTHER AGENCY,Y,EVNT 6
22029973,2022-03-01,6:59:00 AM,2801 HWY 6 E,NA,2801 HWY 6 E 360,BURGLARY/VEHICLE,BURGLARY/VEHICLE,INCIDENT REPORT TAKEN,Y,WALLETS TAKEN FROM A RED KIA SOL
22029974,2022-03-01,7:04:00 AM,805 S 1st Ave,PIZZA HUT,805 S 1st Ave 4,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,WARNING ISSUED VERBAL,Y,BEHIND PIZZA HUT   MALE CROSSED OVER THE CREEK  AND NOW HANGING OUT NEAR SHED
22029977,2022-03-01,7:23:00 AM,728 Walnut St,NA,728 Walnut St,BURGLARY/BUSINESS,BURGLARY/BUSINESS,INCIDENT REPORT TAKEN,Y,JOBSITE TRAILER BROKEN INTO
22029979,2022-03-01,7:27:00 AM,1103 N Dodge ST,HY-VEE GAS,1103 N Dodge ST,FRAUD/BAD CHECKS,FRAUD/BAD CHECKS,INCIDENT REPORT TAKEN,Y,BAD CHECKS  OCCURRED YESTERDAY
22029982,2022-03-01,7:29:00 AM,203 MYRTLE AVE,NA,203 MYRTLE AVE 103,Z Overdose/Poisoning,Z Overdose/Poisoning,PT TRANSPORTED,Y,EVENT 6
22029985,2022-03-01,7:37:00 AM,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,PT TRANSPORTED,Y,RP STAFF  CALLING FOR PT THAT IS FEELING SUICIDAL
22029986,2022-03-01,7:41:00 AM,15 N Dodge St,NA,15 N Dodge St,DIST/DOMESTIC,DIST/DOMESTIC,ARREST MADE,Y,BACK DOOR BOTTOM     CAN HEAR A FEMALE CRYING
22029991,2022-03-01,8:11:00 AM,600 E College St,NA,600 E College St,TR/PARKING,TR/PARKING,COMPLETED,Y,Field Initiated Activity created from Mobile
22029993,2022-03-01,8:13:00 AM,1200 S Riverside Dr,NA,1200 S Riverside Dr,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22030000,2022-03-01,8:33:00 AM,418 West Side Dr,NA,418 West Side Dr,FRAUD/IDENTITY THEFT,FRAUD/IDENTITY THEFT,INCIDENT REPORT TAKEN,N,NA
22030003,2022-03-01,8:42:00 AM,410 E WASHINGTON ST,NA,410 E WASHINGTON ST,ADMIN/REPORT WRITING,ADMIN/REPORT WRITING,COMPLETED,Y,Field Initiated Activity created from Mobile
22030009,2022-03-01,8:50:00 AM,1100 ARTHUR ST,TOWN & CAMPUS APARTMENTS,1100 ARTHUR ST D3,Z Falls,Z Falls,COMPLETED,Y,EVENT 6
22030011,2022-03-01,8:55:00 AM,1215 Oakcrest St,NA,1215 Oakcrest St,TR/PARKING,TR/PARKING,COMPLETED,Y,VEH PARKED WRONG SIDE OF STREET   UNK DESCRIPTION
22030012,2022-03-01,8:56:00 AM,74 Ealing Dr,NA,74 Ealing Dr,TR/PARKING,TR/PARKING,COMPLETED,Y,GRY VEH  NO FRONT END AND  WHI VAN TEMP PLATES   CHECK FOR STREET STORAGE   PARKED FOR 2WKS
22030015,2022-03-01,9:06:00 AM,327 S Gilbert St,NA,327 S Gilbert St,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,PLAY ISNT UNTIL END OF MONTH
22030017,2022-03-01,9:07:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,"HASN^T BEEN ABLE TO REACH HIS FRIEND LAST KNOWN TO BE A TRANSIENT IN THE IOWA CITY AREA, DIDN^T HAVE MIDDLE NAME OR DATE OF BIRTH BUT BASED ON INFO IT APPEARS THAT THE SUBJ ATTACHED IS CORRECT, HE^S LOOKING FOR ANY INFO ON SUBJS WELFARE AND WHEREABOUTS"
22030018,2022-03-01,9:06:00 AM,700-799 Oaknoll Dr,NA,700-799 Oaknoll Dr,TR/PARKING,TR/PARKING,COMPLETED,Y,Scheduled For: 03/01/2022 14:30
22030019,2022-03-01,9:09:00 AM,2200 Heinz Rd,MID AMERICAN,2200 Heinz Rd,BURGLARY/BUSINESS,BURGLARY/BUSINESS,INCIDENT REPORT TAKEN,Y,"MIDAMERICAN SUBSTATION AT HEINZ AND SCOTT BROKEN INTO, ITEMS TAKEN"
22030025,2022-03-01,9:26:00 AM,2875 N Dubuque St,NA,2875 N Dubuque St,ANIMAL/GENERAL,ANIMAL/GENERAL,COMPLETED,Y,Field Initiated Activity created from Mobile
22030028,2022-03-01,9:28:00 AM,417 S Clinton St,NA,417 S Clinton St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22030032,2022-03-01,9:40:00 AM,823 Bluffwood Dr,NA,823 Bluffwood Dr,BURGLARY/VEHICLE,BURGLARY/VEHICLE,INCIDENT REPORT TAKEN,Y,OCCCURRED OVERNIGHT PURSE STOLEN
22030035,2022-03-01,9:40:00 AM,4124 Unbridled Ave,NA,4124 Unbridled Ave,Z Chest Pain,Z Chest Pain,COMPLETED,Y,EVENT 6
22030040,2022-03-01,9:47:00 AM,100 E College St,PED MALL,100 E College St,PROPERTY/FOUND,PROPERTY/FOUND,COMPLETED,N,NA
22030041,2022-03-01,9:51:00 AM,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,PUBLIC ASSIST,PUBLIC ASSIST,DIVERSION/ACCESS CENTER,Y,WANTS TO DETOX AND WANTS HELP TO STOP DRINKING   RP IS SITTING OUTSIDE
22030043,2022-03-01,10:01:00 AM,1920 Lower Muscatine Rd,BP,1920 Lower Muscatine Rd,THEFT/GAS DRIVE OFF,THEFT/GAS DRIVE OFF,INCIDENT REPORT TAKEN,Y,4 MIN TIME DELAY    BLK JEEP  $30.00  WM DRIVER
22030048,2022-03-01,10:05:00 AM,2401 HWY 6 E,THE QUARTERS,2401 HWY 6 E,PROPERTY/FOUND,PROPERTY/FOUND,COMPLETED,Y,"AT FRONT DESK   SSN, DL AND DEBIT CARD  TURNED IN  FOUND OUTSIDE"
22030051,2022-03-01,10:16:00 AM,200 Teeters Ct,NA,200 Teeters Ct,TR/PARKING,TR/PARKING,COMPLETED,Y,VEH PARKED IN ONE HOUR PARKING ON GOING ISSUE
22030052,2022-03-01,10:21:00 AM,2431 Whispering Meadow Dr,NA,2431 Whispering Meadow Dr,FRAUD/IDENTITY THEFT,FRAUD/IDENTITY THEFT,REF TO OTHER AGENCY,Y,PBX  REF TO ID THEFT
22030054,2022-03-01,10:31:00 AM,200 E Washington St,NA,200 E Washington St,FOOT PATROL,FOOT PATROL,COMPLETED,Y,Field Initiated Activity created from Mobile
22030056,2022-03-01,10:34:00 AM,464 Samoa Dr,NA,464 Samoa Dr,PHONE REQUEST,PHONE REQUEST,REF TO CITY DEPARTMENT,Y,"""ROUTINE BUSINESS"" QUESTIONS"
22030059,2022-03-01,10:44:00 AM,731 Bowery St,NA,731 Bowery St,ANIMAL/FOUND,ANIMAL/FOUND,COMPLETED,Y,Field Initiated Activity created from Mobile
22030066,2022-03-01,10:57:00 AM,914 S Dodge St,NA,914 S Dodge St,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,UNABLE TO LOCATE,Y,PBX DAUGHTER LOST AIRPODS     LAST NIGHT     NOW MAPPING IN IC
22030069,2022-03-01,11:15:00 AM,86 Jema Ct,NA,86 Jema Ct,PHONE REQUEST,PHONE REQUEST,INCIDENT REPORT TAKEN,N,NA
22030071,2022-03-01,11:19:00 AM,1445 BOYRUM ST,BURGER KING,1445 BOYRUM ST,TRESPASS,TRESPASS,UNABLE TO LOCATE,Y,"MALE REFUSING TO LEAVE    BM 601 DARK BLUE COAT, BLUE HAT"
22030076,2022-03-01,11:28:00 AM,812 S 1st AVE,HY-VEE,812 S 1st AVE,WELFARE CHECK,WELFARE CHECK,UNABLE TO LOCATE,Y,TWO  YOUNDGER JUV 7-8 YO   WALKING ALONG THE ROAD WITH NO PARENTS     WALKING BACK AND FORTH  BETWEEN APTS AND HYVEE
22030078,2022-03-01,11:32:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,Y,MOVED ALONG
22030083,2022-03-01,11:38:00 AM,1927 Sherman Dr,NA,1927 Sherman Dr,TR/PARKING,TR/PARKING,COMPLETED,Y,Field Initiated Activity created from Mobile
22030088,2022-03-01,11:45:00 AM,300 Teeters Ct,NA,300 Teeters Ct,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22030093,2022-03-01,12:21:00 PM,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,COMPLETED,Y,RP IS TRYING TO RETURN SOMETHING  STAFF ASKING HIM TO LEAVE
22030094,2022-03-01,12:22:00 PM,127 E College St,ROXXY IOWA CITY,127 E College St,PHONE REQUEST,PHONE REQUEST,INCIDENT REPORT TAKEN,N,NA
22030097,2022-03-01,12:27:00 PM,824 E College St,NA,824 E College St,SUICIDE/LAW,SUICIDE/LAW,PT TRANSPORTED,Y,EVENT 6
22030098,2022-03-01,12:28:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,NA
22030099,2022-03-01,12:33:00 PM,401 Hawk Ridge Dr,NA,401 Hawk Ridge Dr 4213,PHONE REQUEST,PHONE REQUEST,INFORMATION,N,NA
22030100,2022-03-01,12:36:00 PM,100 E COLLEGE ST,NA,100 E COLLEGE ST,FOOT PATROL,FOOT PATROL,COMPLETED,Y,Field Initiated Activity created from Mobile
22030105,2022-03-01,12:46:00 PM,410 E Washington St,NA,410 E Washington St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22030106,2022-03-01,12:46:00 PM,38 WAKEFIELD CT,NA,38 WAKEFIELD CT,BURGLARY/VEHICLE,BURGLARY/VEHICLE,INCIDENT REPORT TAKEN,Y,"PURSE STOLEN OUT OF RP^S VEH. RP THINKS HER DOORS WERE LOCKED LAST NIGHT. ONE DOOR WAS OPEN THIS MORNING AND ALL OF HER SEATS WERE PUSHED FORWARD

RP IS HOME NOW BUT LEAVING IN 20 MIN   //  PBX IS FINE"
22030108,2022-03-01,12:59:00 PM,Boyrum St/Hwy 6 E,NA,Boyrum St/Hwy 6 E,INTOXICATED PEDESTRIAN,INTOXICATED PEDESTRIAN,COMPLETED,Y,"INTOX MALE JUST GOT OFF IOWA CITY BUS AT STOP ON BOYRUM.  OLDER B/M 60S, CARRYING A GARBAGE BAG. BUS DRIVER ADV HE WAS SO INTOX HE COULD BARELY STAND UP. REQ HIM CHECKED ON AND MOVED ALONG SOMEWHERE SAFE"
22030109,2022-03-01,1:03:00 PM,3051 Wayne Ave,NA,3051 Wayne Ave,ANIMAL/GENERAL,ANIMAL/GENERAL,WARNING ISSUED WRITTEN,Y,Field Initiated Activity created from Mobile
22030113,2022-03-01,1:05:00 PM,2714 Hickory Trl,NA,2714 Hickory Trl,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,BALANCE ISSUES AND DOESN^T FEEL RIGHT
22030114,2022-03-01,1:06:00 PM,2051 Keokuk St,KSA RENTALS,2051 Keokuk St 1,TR/PARKING,TR/PARKING,PARKING TICKET,Y,"VEH WITH NO PLACARD,  SIL VW SEDAN 4D"
22030116,2022-03-01,1:09:00 PM,Hwy 6 E/Sycamore St,NA,Hwy 6 E/Sycamore St,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,COMPLETED,Y,"WB   MALE WEARING A BLUE HOODIE, VEST     POPPIN^ WHEELIE"
22030117,2022-03-01,1:11:00 PM,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,Y,BUS STOP
22030125,2022-03-01,1:19:00 PM,2801 HWY 6 E,NA,2801 HWY 6 E 10,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,Y,EVENT 9
22030126,2022-03-01,1:24:00 PM,511 S Lucas St,NA,511 S Lucas St,TR/PARKING,TR/PARKING,WARNING ISSUED VERBAL,Y,Field Initiated Activity created from Mobile
22030127,2022-03-01,1:24:00 PM,511 S Lucas St,NA,511 S Lucas St,TR/PARKING,TR/PARKING,COMPLETED,Y,Linked to CFS#: 22030126
22030128,2022-03-01,1:24:00 PM,40 Sturgis Corner Dr,NA,40 Sturgis Corner Dr,ANIMAL/NEGLECT,ANIMAL/NEGLECT,UNABLE TO LOCATE,Y,"WHI SUBARU WITH A DOG INSIDE (FOR ABOUT 2 MIN NOW), FEM WALKED INSIDE THE ""STURGIS OFFICES"" POSSIBLY AT THIS ADDRESS.    WINDOWS ARE UP. RP WAS PASSERBY IN PARKING LOT AND LEAVING.   BLK OUT PLATE LIC/ HIPI

"
22030130,2022-03-01,1:32:00 PM,100 S Lucas St,NA,100 S Lucas St,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22030138,2022-03-01,1:51:00 PM,812 S 1st AVE,HY-VEE,812 S 1st AVE,PROPERTY/LOST,PROPERTY/LOST,INFORMATION,Y,PBX LOST APPLE WATCH YESTERDAY    NOW MAPPING AT ETC
22030141,2022-03-01,1:55:00 PM,919 Hwy 1 W,WALMART,919 Hwy 1 W,911 HANGUP,911 HANGUP,CANCEL BY COMPL,Y,VERIFIED INFO NO EMERGENCY
22030142,2022-03-01,1:54:00 PM,2415 Bittersweet Ct,NA,2415 Bittersweet Ct,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,PREVIOUS INCIDENT,Y,Linked to CFS#: 22029011
22030145,2022-03-01,2:02:00 PM,1940 Plaen View Dr,NA,1940 Plaen View Dr,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,INFORMATION,Y,DAUGHTER SCREAMING IN BACKGROUND
22030147,2022-03-01,2:00:00 PM,513 2nd Ave,NA,513 2nd Ave,ASSAULT,ASSAULT,INCIDENT REPORT TAKEN,N,NA
22030148,2022-03-01,2:05:00 PM,408 Highland Ave,NA,408 Highland Ave,ANIMAL/GENERAL,ANIMAL/GENERAL,COMPLETED,Y,Field Initiated Activity created from Mobile
22030154,2022-03-01,2:18:00 PM,621 Barrington Rd,NA,621 Barrington Rd,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22030155,2022-03-01,2:20:00 PM,600 Orchard Ct,NA,600 Orchard Ct,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22030160,2022-03-01,2:34:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,WANTS TO KNOW THE REPO LAWS FOR IOWA CITY
22030161,2022-03-01,2:34:00 PM,400 Wales St,NA,400 Wales St,TR/PARKING,TR/PARKING,PARKING TICKET,Y,Field Initiated Activity created from Mobile
22030163,2022-03-01,2:34:00 PM,314 Reno St,NA,314 Reno St,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNFOUNDED,Y,"MALE WANDERING AROUND RP^S YARD AND RP THINKS HE WAS INSIDE NEIGHBOR^S VEH AT ONE POINT, LEFT THE DOOR OPEN"
22030164,2022-03-01,2:36:00 PM,Boyrum St/Hwy 6 E,NA,Boyrum St/Hwy 6 E,VAGRANT/TRANSIENT,VAGRANT/TRANSIENT,COMPLETED,Y,"MALE FELL OFF HIS BUCKET, RIGHT AT THE CORNER    RP THINKS HE MIGHT NEED SOME ASSISTANCE"
22030166,2022-03-01,2:40:00 PM,700 E Jefferson St,NA,700 E Jefferson St,TR/PARKING,TR/PARKING,COMPLETED,Y,Field Initiated Activity created from Mobile
22030167,2022-03-01,2:42:00 PM,Hwy 1 W/S Riverside Dr,NA,Hwy 1 W/S Riverside Dr,SOLICITOR,SOLICITOR,UNABLE TO LOCATE,Y,VAGRANTS SOLICITING IN THE MEDIAN
22030173,2022-03-01,2:58:00 PM,212 E Market St,DAIRY QUEEN,212 E Market St,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,COMPLETED,Y,INJURED BAT
22030181,2022-03-01,3:21:00 PM,0-99 Lincoln Ave,NA,0-99 Lincoln Ave,TR/PARKING,TR/PARKING,PARKING TICKET,Y,BABY BLUE CAR IN NO PARKING AREA PARTIALLY BLOCKING A DRIVEWAY
22030193,2022-03-01,3:42:00 PM,2433 Nevada Ave,NA,2433 Nevada Ave,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,COMPLETED,N,NA
22030194,2022-03-01,3:46:00 PM,E Burlington St/S Dubuque St,NA,E Burlington St/S Dubuque St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22030195,2022-03-01,3:48:00 PM,100 E College St,PED MALL,100 E College St,FOOT PATROL,FOOT PATROL,COMPLETED,N,NA
22030196,2022-03-01,3:47:00 PM,2185 Willenbrock Cir,NA,2185 Willenbrock Cir,PHONE REQUEST,PHONE REQUEST,CIVIL,N,"
"
22030199,2022-03-01,3:51:00 PM,417 S Clinton St,NA,417 S Clinton St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22030200,2022-03-01,3:54:00 PM,225 S Linn St,BREAD GARDEN MARKET,225 S Linn St,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,PREVIOUS INCIDENT,N,NA
22030203,2022-03-01,4:00:00 PM,500 S Clinton St,NA,500 S Clinton St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Field Initiated Activity created from Mobile
22030211,2022-03-01,4:08:00 PM,S Riverside Dr/Newton Rd,NA,S Riverside Dr/Newton Rd,WELFARE CHECK,WELFARE CHECK,UNABLE TO LOCATE,Y,"W/M BLK T SHIRT AND JEANS, WAS SCREAMING AT TRAFFIC AND THEN RAN INTO TRAFFIC AND DOWN TOWARDS THE RIVER, EB ACROSS RIVERSIDE DR. THINKS POSSIBLY MENTAL HEALTH CRISIS."
22030213,2022-03-01,4:10:00 PM,108 E COLLEGE ST,HAWKEYE SMOKE AND LIQUOR,108 E COLLEGE ST,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22030218,2022-03-01,4:22:00 PM,1117 N Dubuque Street,NA,1117 N Dubuque Street,COMMUNITY POLICING,COMMUNITY POLICING,COMPLETED,Y,Field Initiated Activity created from Mobile
22030220,2022-03-01,4:24:00 PM,1100 ARTHUR ST,NA,1100 ARTHUR ST H4,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,COMPLETED,Y,"ONE IN GREEN TSHIRT OTHER RED SHIRT YELLING AT EACH OTHER OUTSIDE THIS APT, NOT PHYSICAL YET"
22030221,2022-03-01,4:25:00 PM,N Dubuque St/Church St,NA,N Dubuque St/Church St,MVA/PERSONAL INJURY ACCIDENT,MVA/PERSONAL INJURY ACCIDENT,INCIDENT REPORT TAKEN,Y,VEH VS PED
22030228,2022-03-01,4:35:00 PM,1900 Morningside DR,CITY HIGH SCHOOL,1900 Morningside DR,VEHICLE UNLOCK,VEHICLE UNLOCK,HANDLED BY OTHER AGENCY,N,NA
22030230,2022-03-01,4:37:00 PM,80/244East,NA,80/244East,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,PBX ONLY. RP WAS TRAVELLING ON THE INTERSTATE AND A VEH IN FRONT OF HER LOST ITS PAINT LOAD AND RP^S VEH GOT COATED. REQ CB REF THE DAMAGE. THE SUSPECT VEH CONTINUED ON.
22030234,2022-03-01,4:46:00 PM,13 Hwy 1 W,AUTO ZONE,13 Hwy 1 W,Z Chest Pain,Z Chest Pain,HANDLED BY OTHER AGENCY,Y,EVENT 7
22030236,2022-03-01,4:50:00 PM,1100 ARTHUR ST,NA,1100 ARTHUR ST,FOOT PATROL,FOOT PATROL,COMPLETED,N,NA
22030239,2022-03-01,5:01:00 PM,1039 ARTHUR ST,ABBE CENTER FOR COMMUNITY MENTAL HEALTH,1039 ARTHUR ST,TRESPASS,TRESPASS,COMPLETED,N,NA
22030242,2022-03-01,5:11:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,THEFT,THEFT,INCIDENT REPORT TAKEN,N,NA
22030248,2022-03-01,5:18:00 PM,340 Southgate Ave,WET SHELTER,340 Southgate Ave,ASSAULT,ASSAULT,UNDER INVESTIGATION,N,NA
22030249,2022-03-01,5:21:00 PM,10 W Benton St,BENTON ST BRIDGE,10 W Benton St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22030252,2022-03-01,5:19:00 PM,2018 Waterfront DR,HILLTOP MOBILE HOME PARK,2018 Waterfront DR 86,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,N,NA
22030258,2022-03-01,5:40:00 PM,1221 Edingale Dr,NA,1221 Edingale Dr,911 HANGUP,911 HANGUP,INFORMATION,Y,STAYED ON LINE CONFIRMED LOCATINO NO ISSUSE HEARD
22030267,2022-03-01,6:03:00 PM,919 Hwy 1 W,WALMART,919 Hwy 1 W,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,N,NA
22030274,2022-03-01,6:17:00 PM,1300 S Gilbert St,NA,1300 S Gilbert St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22030284,2022-03-01,6:34:00 PM,W Benton St/Riverside Dr,NA,W Benton St/Riverside Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22030285,2022-03-01,6:33:00 PM,1916 Waterfront Dr,FOUR OAKS,1916 Waterfront Dr,MISSING/JUVENILE,MISSING/JUVENILE,INCIDENT REPORT TAKEN,Y,Linked to CFS#: 22030331
22030286,2022-03-01,6:37:00 PM,Church St/N Johnson St,NA,Church St/N Johnson St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22030288,2022-03-01,6:37:00 PM,113 E Washington ST,TARGET,113 E Washington ST,SUICIDE/LAW,SUICIDE/LAW,INCIDENT REPORT TAKEN,N,NA
22030290,2022-03-01,6:41:00 PM,82 Rita Lyn Ct,NA,82 Rita Lyn Ct,911 HANGUP,911 HANGUP,COMPLETED,N,NA
22030291,2022-03-01,6:40:00 PM,2407 Bittersweet Ct,NA,2407 Bittersweet Ct,ASSAULT,ASSAULT,INCIDENT REPORT TAKEN,Y,SUBJ KICKED DOOR SEVERAL TIMES SCREAMING OUTSIDE DOR
22030293,2022-03-01,6:42:00 PM,2260 Taylor Dr,NA,2260 Taylor Dr,DIST/NOISE GENERAL,DIST/NOISE GENERAL,COMPLETED,N,NA
22031049,2022-03-03,12:00:00 AM,411 E Market St,NA,411 E Market St,DIST/NOISE GENERAL,DIST/NOISE GENERAL,UNFOUNDED,N,NA
22031053,2022-03-03,12:08:00 AM,1125 N Dodge ST,HY-VEE (NEW),1125 N Dodge ST,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,"RP PULLED OVER IN BLK TAURUS IN THE PARKING LOT, HAVING MEDICATION SIDE EFFECTS"
22031064,2022-03-03,12:42:00 AM,932 E WASHINGTON ST,NA,932 E WASHINGTON ST 8,TRESPASS,TRESPASS,UNABLE TO LOCATE,Y,STILL IN THE HALLWAY
22031067,2022-03-03,12:43:00 AM,118 E WASHINGTON ST,BO JAMES,118 E WASHINGTON ST,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,FALL W/ HEAD INJURY
22031069,2022-03-03,1:08:00 AM,E Iowa Ave/N Dubuque St,NA,E Iowa Ave/N Dubuque St,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
